Address,Status Code,Status,Indexability,Indexability Status,Title 1,Meta Description 1,H1-1,Canonical Link Element 1,Word Count,Crawl Depth,Inlinks,Redirect URL,Sessions
https://brightwaterplumbing.com.au/services/emergency-plumber,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,3,6,https://brightwaterplumbing.com.au/services/24-hour-plumber,45
https://brightwaterplumbing.com.au/services/24-hour-plumber,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,3,2,https://brightwaterplumbing.com.au/melbourne/emergency-plumber,8
https://brightwaterplumbing.com.au/melbourne/emergency-plumber,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,4,1,https://brightwaterplumbing.com.au/emergency-plumber,0
https://brightwaterplumbing.com.au/emergency-plumber,404,Not Found,Non-Indexable,Not Found,,,,,0,2,7,,0
https://brightwaterplumbing.com.au/about,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,1,9,https://brightwaterplumbing.com.au/about-us,
https://brightwaterplumbing.com.au/about-us,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,5,https://brightwaterplumbing.com.au/about,
https://brightwaterplumbing.com.au/hot-water-repairs,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,3,https://brightwaterplumbing.com.au/services/hot-water,120
https://brightwaterplumbing.com.au/services/hot-water,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,2,https://brightwaterplumbing.com.au/services/hot-water-systems,
https://brightwaterplumbing.com.au/services/hot-water-systems,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,3,4,https://brightwaterplumbing.com.au/services/hot-water-repair,
https://brightwaterplumbing.com.au/services/hot-water-repair,200,OK,Indexable,,"Hot Water Repair and Installation Melbourne | Brightwater Plumbing","Fast hot water repairs and new system installation across Melbourne. Gas, electric and solar hot water specialists at Brightwater Plumbing.","Hot Water Repair and Installation",https://brightwaterplumbing.com.au/services/hot-water-repair,910,2,11,,800
https://brightwaterplumbing.com.au/blocked-drains,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,2,https://brightwaterplumbing.com.au/blog/blocked-drain-tips,60
https://brightwaterplumbing.com.au/blog/blocked-drain-tips,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,3,1,https://brightwaterplumbing.com.au/blog/how-to-clear-a-blocked-drain,
https://brightwaterplumbing.com.au/blog/how-to-clear-a-blocked-drain,200,OK,Indexable,,"How to Clear a Blocked Drain | Brightwater Plumbing","A step-by-step guide to clearing a blocked drain at home, and when to call a licensed Melbourne plumber.","How to Clear a Blocked Drain",https://brightwaterplumbing.com.au/blog/how-to-clear-a-blocked-drain,1180,2,9,,260
https://brightwaterplumbing.com.au/gas-fitting,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,3,https://brightwaterplumbing.com.au/services/gas,
https://brightwaterplumbing.com.au/services/gas,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,2,https://brightwaterplumbing.com.au/services/gas-fitting,
https://brightwaterplumbing.com.au/services/gas-fitting,200,OK,Indexable,,"Licensed Gas Fitting Melbourne | Brightwater Plumbing","Licensed gas fitters for installations, repairs and gas safety checks across Melbourne. Book Brightwater Plumbing today.","Gas Fitting Services",https://brightwaterplumbing.com.au/services/gas-fitting,780,2,8,,
https://brightwaterplumbing.com.au/old-pricing,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,1,https://brightwaterplumbing.com.au/pricing-2023,30
https://brightwaterplumbing.com.au/pricing-2023,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,3,0,https://brightwaterplumbing.com.au/pricing-old,
https://brightwaterplumbing.com.au/pricing-old,404,Not Found,Non-Indexable,Not Found,,,,,0,3,0,,
https://brightwaterplumbing.com.au/contact-us-page,302,Found,Non-Indexable,Redirected,,,,,0,2,2,https://brightwaterplumbing.com.au/contact-us,
https://brightwaterplumbing.com.au/contact-us,301,Moved Permanently,Non-Indexable,Redirected,,,,,0,2,6,https://brightwaterplumbing.com.au/contact,
https://brightwaterplumbing.com.au/plumber-richmond,200,OK,Indexable,,"Plumber Melbourne | Brightwater Plumbing","Need a plumber in Melbourne? Brightwater Plumbing offers fast, licensed plumbing services across the city.","Plumber in Richmond",https://brightwaterplumbing.com.au/plumber-richmond,540,2,6,,90
https://brightwaterplumbing.com.au/plumber-hawthorn,200,OK,Indexable,,"Plumber Melbourne | Brightwater Plumbing","Need a plumber in Melbourne? Brightwater Plumbing offers fast, licensed plumbing services across the city.","Plumber in Hawthorn",https://brightwaterplumbing.com.au/plumber-hawthorn,520,2,5,,70
https://brightwaterplumbing.com.au/plumber-camberwell,200,OK,Indexable,,"Plumber Melbourne | Brightwater Plumbing","Need a plumber in Melbourne? Brightwater Plumbing offers fast, licensed plumbing services across the city.","Plumber in Camberwell",https://brightwaterplumbing.com.au/plumber-camberwell,510,2,4,,55
https://brightwaterplumbing.com.au/plumber-kew,200,OK,Indexable,,"Plumber Melbourne | Brightwater Plumbing","Need a plumber in Melbourne? Brightwater Plumbing offers fast, licensed plumbing services across the city.","Plumber in Kew",https://brightwaterplumbing.com.au/plumber-kew,500,2,3,,40
https://brightwaterplumbing.com.au/blog/tag/tips,200,OK,Indexable,,"Tips Archive | Brightwater Plumbing Blog","Expert plumbing tips and advice from the team at Brightwater Plumbing in Melbourne.","Posts tagged: Tips",https://brightwaterplumbing.com.au/blog/tag/tips,70,3,4,,
https://brightwaterplumbing.com.au/blog/tag/drains,200,OK,Indexable,,"Drains Archive | Brightwater Plumbing Blog","Expert plumbing tips and advice from the team at Brightwater Plumbing in Melbourne.","Posts tagged: Drains",https://brightwaterplumbing.com.au/blog/tag/drains,65,3,3,,
https://brightwaterplumbing.com.au/blog/tag/hot-water,200,OK,Indexable,,"Hot Water Archive | Brightwater Plumbing Blog","Expert plumbing tips and advice from the team at Brightwater Plumbing in Melbourne.","Posts tagged: Hot Water",https://brightwaterplumbing.com.au/blog/tag/hot-water,60,3,2,,
https://brightwaterplumbing.com.au/services/commercial-plumbing,200,OK,Non-Indexable,noindex,"Commercial Plumbing Melbourne | Brightwater Plumbing","Commercial plumbing services for Melbourne businesses, offices and strata. Maintenance, fit-outs and emergency repairs.","Commercial Plumbing",https://brightwaterplumbing.com.au/services/commercial-plumbing,960,2,5,,
https://brightwaterplumbing.com.au/quote,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,,,,0,1,14,,
https://brightwaterplumbing.com.au/services/leak-detection,404,Not Found,Non-Indexable,Not Found,,,,,0,2,5,,
https://brightwaterplumbing.com.au/booking,503,Service Unavailable,Non-Indexable,Service Unavailable,,,,,0,1,11,,
https://brightwaterplumbing.com.au/services/bathroom-plumbing,200,OK,Indexable,,"Bathroom Plumbing Melbourne | Brightwater Plumbing","Bathroom plumbing for renovations and repairs across Melbourne. Taps, toilets, showers and full bathroom fit-outs.","Bathroom Plumbing",https://brightwaterplumbing.com.au/services/bathroom-plumbing,740,3,0,,
https://brightwaterplumbing.com.au/blog/winter-plumbing-checklist,200,OK,Indexable,,"Winter Plumbing Checklist for Melbourne Homes | Brightwater Plumbing","A simple winter plumbing checklist to help Melbourne homeowners avoid burst pipes and hot water failures.","Winter Plumbing Checklist",https://brightwaterplumbing.com.au/blog/winter-plumbing-checklist,560,3,0,,
https://brightwaterplumbing.com.au/services/drain-cleaning,200,OK,Non-Indexable,Canonicalised,"Drain Cleaning Melbourne | Brightwater Plumbing","Professional drain cleaning for blocked and slow drains across Melbourne homes and businesses.","Drain Cleaning",https://brightwaterplumbing.com.au/services/drain-camera-inspection,680,2,7,,
https://brightwaterplumbing.com.au/services/drain-camera-inspection,200,OK,Non-Indexable,Canonicalised,"Drain Camera Inspection Melbourne | Brightwater Plumbing","CCTV drain camera inspections to find blockages and pipe damage across Melbourne.","Drain Camera Inspection",https://brightwaterplumbing.com.au/services/blocked-drains-service,650,3,4,,
https://brightwaterplumbing.com.au/services/blocked-drains-service,200,OK,Indexable,,"Blocked Drains Melbourne | Brightwater Plumbing","Fast blocked drain clearing across Melbourne. Licensed plumbers, upfront pricing and same-day service.","Blocked Drains",https://brightwaterplumbing.com.au/services/blocked-drains-service,830,2,10,,310
https://brightwaterplumbing.com.au/services/tap-repairs,200,OK,Indexable,,"Tap Repairs Melbourne | Brightwater Plumbing","Dripping or broken tap? Brightwater Plumbing repairs and replaces taps across Melbourne.","Tap Repairs",https://brightwaterplumbing.com.au/services/tap-repairs,600,2,9,,
https://brightwaterplumbing.com.au/services/toilet-repairs,200,OK,Indexable,,"Toilet Repairs Melbourne | Brightwater Plumbing","Running, leaking or blocked toilet? Brightwater Plumbing handles toilet repairs across Melbourne.","Toilet Repairs",https://brightwaterplumbing.com.au/services/toilet-repairs,590,2,8,,
https://brightwaterplumbing.com.au/services/drainage,200,OK,Indexable,,"Drainage Services Melbourne | Brightwater Plumbing","Stormwater and drainage solutions for Melbourne properties, from new drains to repairs.","Drainage Services",https://brightwaterplumbing.com.au/services/drainage,710,2,7,,
https://brightwaterplumbing.com.au/services/burst-pipe-repair,200,OK,Indexable,,"Burst Pipe Repair Melbourne | Brightwater Plumbing","24/7 burst pipe repair across Melbourne. Fast response to limit water damage to your home.","Burst Pipe Repair",https://brightwaterplumbing.com.au/services/burst-pipe-repair,720,2,10,,
https://brightwaterplumbing.com.au/blog/burst-pipe-what-to-do,200,OK,Indexable,,"Burst Pipe? Here Is What to Do First | Brightwater Plumbing","What to do the moment you find a burst pipe at home, and how to limit the damage before a plumber arrives.","Burst Pipe? What to Do First",https://brightwaterplumbing.com.au/blog/burst-pipe-what-to-do,990,2,8,,180
https://brightwaterplumbing.com.au/blog/choosing-a-plumber,200,OK,Indexable,,"How to Choose a Plumber in Melbourne | Brightwater Plumbing","Seven things to check before you hire a plumber in Melbourne, from licences to upfront pricing.","How to Choose a Plumber",https://brightwaterplumbing.com.au/blog/choosing-a-plumber,1040,2,6,,140
https://brightwaterplumbing.com.au/blog/why-is-my-water-bill-high,200,OK,Indexable,,"Why Is My Water Bill So High? | Brightwater Plumbing","Common reasons your water bill is higher than usual, and the hidden leaks a Melbourne plumber can find.","Why Is My Water Bill So High?",https://brightwaterplumbing.com.au/blog/why-is-my-water-bill-high,870,2,5,,210
https://brightwaterplumbing.com.au/areas,200,OK,Indexable,,"Melbourne Suburbs We Service | Brightwater Plumbing","See the Melbourne suburbs covered by Brightwater Plumbing for emergency and general plumbing.","Areas We Service",https://brightwaterplumbing.com.au/areas,360,1,15,,
https://brightwaterplumbing.com.au/services/hot-water-installation,200,OK,Indexable,,"Hot Water Installation Melbourne | Brightwater Plumbing","New hot water system installation across Melbourne. Gas, electric, solar and heat pump systems.","Hot Water Installation",https://brightwaterplumbing.com.au/services/hot-water-installation,760,2,6,,
https://brightwaterplumbing.com.au/about-brightwater,200,OK,Indexable,,"About Brightwater Plumbing | Melbourne Plumbers","Learn about Brightwater Plumbing, a licensed Melbourne plumbing team serving homes and businesses since 2009.","About Brightwater Plumbing",https://brightwaterplumbing.com.au/about-brightwater,480,1,3,,
https://brightwaterplumbing.com.au/blog/how-to-stop-a-running-toilet,200,OK,Indexable,,"How to Stop a Running Toilet | Brightwater Plumbing","A quick guide to fixing a running toilet at home, and when the problem needs a licensed plumber.","How to Stop a Running Toilet",https://brightwaterplumbing.com.au/blog/how-to-stop-a-running-toilet,920,2,7,,160
https://brightwaterplumbing.com.au/services/leak-repairs,200,OK,Indexable,,"Water Leak Repairs Melbourne | Brightwater Plumbing","Hidden and visible water leak repairs across Melbourne. Stop wasting water and protect your home.","Water Leak Repairs",https://brightwaterplumbing.com.au/services/leak-repairs,690,2,9,,
https://brightwaterplumbing.com.au/careers,200,OK,Indexable,,"Plumbing Jobs Melbourne | Careers at Brightwater Plumbing","Join the Brightwater Plumbing team. See current plumbing jobs and apprenticeships in Melbourne.","Careers",https://brightwaterplumbing.com.au/careers,340,2,4,,
